
==================================================
ROZPOCZYNAM EKSPERYMENT 1: ARCHITEKTURA
==================================================

[Eksperyment 1] Parametry: {'batch_size': 64, 'lr': 0.001, 'dropout_rate': 0.2, 'kernel_size': 3, 'num_filters': 8}

--- Start Treningu | Batch 64 LR 0.001 Kernel 3 Filters 8 Dropout 0.2 ---
Epoka [1/50]    |  Train Acc: 38.57%  |  Val Acc: 38.58%  |  LR: 0.000999
Epoka [2/50]    |  Train Acc: 40.91%  |  Val Acc: 49.09%  |  LR: 0.000996
Epoka [3/50]    |  Train Acc: 46.11%  |  Val Acc: 58.90%  |  LR: 0.000991
Epoka [4/50]    |  Train Acc: 43.71%  |  Val Acc: 78.31%  |  LR: 0.000984
Epoka [5/50]    |  Train Acc: 46.63%  |  Val Acc: 81.05%  |  LR: 0.000976
Epoka [6/50]    |  Train Acc: 46.91%  |  Val Acc: 62.79%  |  LR: 0.000965
!!!     [Brak poprawy: 1/20]    !!!
Epoka [7/50]    |  Train Acc: 50.06%  |  Val Acc: 57.53%  |  LR: 0.000952
!!!     [Brak poprawy: 2/20]    !!!
Epoka [8/50]    |  Train Acc: 52.86%  |  Val Acc: 60.27%  |  LR: 0.000938
!!!     [Brak poprawy: 3/20]    !!!
Epoka [9/50]    |  Train Acc: 53.37%  |  Val Acc: 70.78%  |  LR: 0.000922
!!!     [Brak poprawy: 4/20]    !!!
Epoka [10/50]   |  Train Acc: 54.17%  |  Val Acc: 80.59%  |  LR: 0.000905
!!!     [Brak poprawy: 5/20]    !!!
Epoka [11/50]   |  Train Acc: 54.11%  |  Val Acc: 80.14%  |  LR: 0.000885
!!!     [Brak poprawy: 6/20]    !!!
Epoka [12/50]   |  Train Acc: 57.31%  |  Val Acc: 76.48%  |  LR: 0.000865
!!!     [Brak poprawy: 7/20]    !!!
Epoka [13/50]   |  Train Acc: 61.14%  |  Val Acc: 77.63%  |  LR: 0.000842
!!!     [Brak poprawy: 8/20]    !!!
Epoka [14/50]   |  Train Acc: 61.83%  |  Val Acc: 80.59%  |  LR: 0.000819
!!!     [Brak poprawy: 9/20]    !!!
Epoka [15/50]   |  Train Acc: 64.29%  |  Val Acc: 83.79%  |  LR: 0.000794
Epoka [16/50]   |  Train Acc: 64.11%  |  Val Acc: 72.15%  |  LR: 0.000768
!!!     [Brak poprawy: 1/20]    !!!
Epoka [17/50]   |  Train Acc: 64.51%  |  Val Acc: 79.68%  |  LR: 0.000741
!!!     [Brak poprawy: 2/20]    !!!
Epoka [18/50]   |  Train Acc: 63.66%  |  Val Acc: 78.08%  |  LR: 0.000713
!!!     [Brak poprawy: 3/20]    !!!
Epoka [19/50]   |  Train Acc: 66.11%  |  Val Acc: 91.78%  |  LR: 0.000684
Epoka [20/50]   |  Train Acc: 65.09%  |  Val Acc: 87.21%  |  LR: 0.000655
!!!     [Brak poprawy: 1/20]    !!!
Epoka [21/50]   |  Train Acc: 70.74%  |  Val Acc: 89.73%  |  LR: 0.000625
!!!     [Brak poprawy: 2/20]    !!!
Epoka [22/50]   |  Train Acc: 68.00%  |  Val Acc: 89.04%  |  LR: 0.000594
!!!     [Brak poprawy: 3/20]    !!!
Epoka [23/50]   |  Train Acc: 69.37%  |  Val Acc: 92.01%  |  LR: 0.000563
